NUM_INDX,DESCRIPCION_INDX,DESCRIPCION_INDX_NORM,PILAR,SUBPILAR,DESCRIPCION_PILAR,AÑO,CATEGORIA_INDX,CATEGORIA_DESC,FACTOR
2.06,Available airline seat kilometers,available airline seat kilometers,2,6,Infraestructura,2015,A,Requisitos Básicos,0.4
2.07,Quality of electricity supply,quality of electricity supply,2,7,Infraestructura,2015,A,Requisitos Básicos,0.4
2.08,Mobile telephone subscriptions,mobile telephone subscriptions,2,8,Infraestructura,2015,A,Requisitos Básicos,0.4
2.09,Fixed telephone lines,fixed telephone lines,2,9,Infraestructura,2015,A,Requisitos Básicos,0.4
3.01,Government budget balance,government budget balance,3,1,Adopción de Tecnologías de Información y Comunicación (TIC),2015,A,Requisitos Básicos,0.4
3.02,Gross national savings,gross national savings,3,2,Adopción de Tecnologías de Información y Comunicación (TIC),2015,A,Requisitos Básicos,0.4
3.03,Inflation,inflation,3,3,Adopción de Tecnologías de Información y Comunicación (TIC),2015,A,Requisitos Básicos,0.4
3.04,Government debt,government debt,3,4,Adopción de Tecnologías de Información y Comunicación (TIC),2015,A,Requisitos Básicos,0.4
3.05,Country credit rating,country credit rating,3,5,Adopción de Tecnologías de Información y Comunicación (TIC),2015,A,Requisitos Básicos,0.4
4.01,Business impact of malariak,business impact of malariak,4,1,Estabilidad Macroeconómica,2015,A,Requisitos Básicos,0.4
4.02,Malaria incidence,malaria incidence,4,2,Estabilidad Macroeconómica,2015,A,Requisitos Básicos,0.4
4.03,Business impact of tuberculosisk,business impact of tuberculosisk,4,3,Estabilidad Macroeconómica,2015,A,Requisitos Básicos,0.4
4.04,Tuberculosis incidence,tuberculosis incidence,4,4,Estabilidad Macroeconómica,2015,A,Requisitos Básicos,0.4
4.05,Business impact of HIV/AIDSk,business impact of hivaidsk,4,5,Estabilidad Macroeconómica,2015,A,Requisitos Básicos,0.4
4.06,HIV prevalence,hiv prevalence,4,6,Estabilidad Macroeconómica,2015,A,Requisitos Básicos,0.4
4.07,Infant mortality,infant mortality,4,7,Estabilidad Macroeconómica,2015,A,Requisitos Básicos,0.4
4.08,Life expectancy,life expectancy,4,8,Estabilidad Macroeconómica,2015,A,Requisitos Básicos,0.4
4.09,Quality of primary education,quality of primary education,4,9,Estabilidad Macroeconómica,2015,A,Requisitos Básicos,0.4
4.10,Primary education enrollment rate,primary education enrollment rate,4,10,Estabilidad Macroeconómica,2015,A,Requisitos Básicos,0.4
5.01,Secondary education enrollment rate,secondary education enrollment rate,5,1,Salud,2015,B,Impulsores de Eficiencia,0.5
5.02,Tertiary education enrollment rate,tertiary education enrollment rate,5,2,Salud,2015,B,Impulsores de Eficiencia,0.5
5.03,Quality of the educational system,quality of the educational system,5,3,Salud,2015,B,Impulsores de Eficiencia,0.5
5.04,Quality of math and science education,quality of math and science education,5,4,Salud,2015,B,Impulsores de Eficiencia,0.5
5.05,Quality of management schools,quality of management schools,5,5,Salud,2015,B,Impulsores de Eficiencia,0.5
5.06,Internet access in schools,internet access in schools,5,6,Salud,2015,B,Impulsores de Eficiencia,0.5
5.07,Local availability of specialized research and training,local availability of specialized research and training,5,7,Salud,2015,B,Impulsores de Eficiencia,0.5
5.08,Extent of staff training,extent of staff training,5,8,Salud,2015,B,Impulsores de Eficiencia,0.5
6.01,Intensity of local competition,intensity of local competition,6,1,Habilidades,2015,B,Impulsores de Eficiencia,0.5
6.02,Extent of market dominance,extent of market dominance,6,2,Habilidades,2015,B,Impulsores de Eficiencia,0.5
6.03,Effectiveness of anti-monopoly policy,effectiveness of antimonopoly policy,6,3,Habilidades,2015,B,Impulsores de Eficiencia,0.5
6.04,Effect of taxation on incentives to invest,effect of taxation on incentives to invest,6,4,Habilidades,2015,B,Impulsores de Eficiencia,0.5
6.05,Total tax rate,total tax rate,6,5,Habilidades,2015,B,Impulsores de Eficiencia,0.5
